"index","imdb_title_id","title","year","genre","duration","country","director","production_company","budget","total_votes","median_vote","18andunder","under30","under45","males","malesunder18","malesunder30","malesunder45","females","femalesunder18","femalesunder30","femalesunder45"
"4392","tt3499458","Walking with the Dead","2015","Comedy","88","USA","Scott Dow","Aristar Entertainment",1250000,"2973","4","3.3","3.5","3.5","3.4","3.2","3.4","3.5","3.7","3.5","3.8","3.7"
"4393","tt3499542","Black Ruby","2017","Drama","91","USA","La Raza","Ave Fenix Pictures",2000000,"559","8","3.8","8","7.9","7.9","3.2","8","7.8","7.9","4.3","8.1","8.5"
"4394","tt3500724","Kids vs Monsters","2015","Comedy","101","USA","Sultan Saeed Al Darmaki","Dark Dunes Productions",7600000,"107","3","3.6","3","2.7","3","3.3","3.1","2.7","3.7","4.5","1.8","4"
"4395","tt3501112","Security","2017","Action","88","USA","Alain Desrochers","Millennium Films",15000000,"14114","6","5.8","5.6","5.8","5.7","5.8","5.6","5.7","6","6","5.8","6.1"
"4396","tt3501590","Ithaca","2015","Drama","96","USA","Meg Ryan","Co-Op Entertainment",5000000,"2234","6","5.6","5.3","5.8","5.5","5.5","5.2","5.7","5.8","5.9","5.5","6"
"4397","tt3501632","Thor: Ragnarok","2017","Action","130","USA","Taika Waititi","Walt Disney Pictures",180000000,"518571","8","7.9","7.8","7.7","7.8","7.9","7.8","7.7","8.1","8.1","8","8.1"
"4398","tt3503454","Christmas All Over Again","2016","Comedy","78","USA","Christy Carlson Romano","Switzer Entertainment Group",2000000,"108","5","3.9","4.8","4.5","4.6","3.7","4.8","4.6","4.4","4.1","4.4","4.6"
"4399","tt3511596","Close Range","2015","Action","80","USA","Isaac Florentine","Bleiberg Entertainment",3000000,"4126","5","5.3","4.9","4.8","5","5.3","5","4.8","4.8","5","4.6","4.6"
"4400","tt3515284","Teenage Kung Fu Cottontails","2014","Fantasy","104","USA","Juillei Jonz Aka Hollywill","Jonz Journey Studios",20000,"244","8","6.8","5.8","6.6","5.8","6.9","4.7","6.5","7","5.2","7","7"
"4401","tt3515632","24 Hours","2015","Action","96","USA","Timothy Woodward Jr.","Puppy Entertainment",2000000,"593","3","3.5","3","2.6","2.9","3.4","3","2.6","3.6","3.7","3.4","3.4"
"4402","tt3520290","Blunt Force Trauma","2015","Action","97","USA","Ken Sanzel","ETA Films",1000000,"1510","5","4.6","4.5","4.7","4.6","4.6","4.5","4.7","4.8","4.7","5.1","4.4"
"4403","tt3521126","The Disaster Artist","2017","Biography","104","USA","James Franco","Good Universe",10000000,"118201","8","7.5","7.3","7","7.4","7.5","7.3","7","7.3","7.4","7.2","7"
"4404","tt3521148","Dead End","2014","Horror","95","USA","Jordan F. Ghanma","Dead Sea Productions",1000000,"301","5","5.7","4.5","3.9","4","6.4","3.9","3.6","5.2","5.1","5.5","4.9"
"4405","tt3521164","Moana","2016","Animation","107","USA","Ron Clements","Hurwitz Creative",150000000,"236171","8","7.6","7.5","7.5","7.5","7.5","7.4","7.4","7.9","7.9","7.8","7.9"
"4406","tt3526286","#Horror","2015","Crime","101","USA","Tara Subkoff","Lowland Pictures",1500000,"3202","3","2.8","3.2","3.4","3","2.7","3.1","3.4","3.2","3.1","3.4","3.3"
"4407","tt3527772","Krampus: The Devil Returns","2016","Action","83","USA","Jason Hull","Snowdog Studio",1200000,"447","1","1.4","1.6","1.8","1.5","1.5","1.6","1.5","1.8","1","1.2","5.4"
"4408","tt3528852","Eroddity(s)","2014","Drama","70","USA","Steven Vasquez","Babaloo Studios",20000,"186","4","4.4","3.7","4.9","4.4","4.7","3.8","5","2.2","1.7","2.8","1"
"4409","tt3529344","The Tank","2017","Thriller","85","USA","Kellie Madison","Glacier Films",3300000,"325","4","4","3.7","4.4","3.9","3.9","3.7","4.3","4.5","4.5","3.8","5.4"
"4410","tt3530002","The Night Before","2015","Comedy","101","USA","Jonathan Levine","Columbia Pictures",25000000,"59826","7","6.6","6.3","5.9","6.4","6.6","6.3","5.9","6.4","6.5","6.3","6"
"4411","tt3530690","10,000 Days","2014","Sci-Fi","91","USA","Eric Small","Bahr Productions Inc.",2500000,"619","2","2.3","2.7","2.7","2.5","2.4","2.6","2.6","3.1","2.1","3.4","3.3"
"4412","tt3531824","Nerve","2016","Adventure","96","USA","Henry Joost","Allison Shearmur Productions",19000000,"106159","7","6.7","6.3","6.2","6.4","6.5","6.3","6.2","7","7.1","6.7","6.5"
"4413","tt3533916","The Veil","2016","Horror","93","USA","Phil Joanou","Blumhouse Productions",4000000,"7028","5","4.8","4.7","4.7","4.7","4.7","4.7","4.6","5","4.9","5","5.2"
"4414","tt3544654","90210 Shark Attack","2014","Drama","75","USA","David DeCoteau","Rapid Heart Pictures",1000000,"210","1","2.3","1.5","1.9","1.7","2.7","1.6","1.8","2.3","2","1.5","2.7"
"4415","tt3549566","The Linda Vista Project","2015","Horror","84","USA","John Rogers","Arwayne Productions",1000000,"227","3","3.6","3.4","3","2.8","4.3","2.7","2.8","4","2.4","5.1","3.7"
"4416","tt3551400","Unnatural","2015","Action","89","USA","Hank Braxtan","August Heart Entertainment",3000000,"1609","4","3.6","3.9","3.9","3.9","3.7","3.9","3.8","3.9","3.2","3.9","4.2"
"4417","tt3553442","Whiskey Tango Foxtrot","2016","Biography","112","USA","Glenn Ficarra","Broadway Video",35000000,"47035","7","6.6","6.5","6.7","6.5","6.5","6.5","6.6","6.9","6.8","6.8","7"
"4418","tt3554164","Alison's Choice","2015","Comedy","92","USA","Bruce Marchiano","Blacklist Digital",270000,"122","7","6.2","4.6","5.4","4.7","6.6","4.7","3.5","6.6","5.5","5.3","7.8"
"4419","tt3560546","Dead Girls","2014","Horror","91","USA","Neal E. Fischer","Rough Cut Films",25000,"161","3","4.5","3.3","3.3","3.5","5.6","3.3","3.2","3.4","3","3.5","3.6"
"4420","tt3564122","Arise from Darkness","2016","Thriller","90","USA","La Raza","Ave Fenix Pictures",1200000,"593","9","5.9","8.4","6.3","7.4","6.6","7.9","6.4","8.7","4.2","8.9","7.1"
"4421","tt3567288","The Visit","2015","Horror","94","USA","M. Night Shyamalan","Blinding Edge Pictures",5000000,"105309","6","6.3","6.2","6","6.2","6.3","6.2","6","6.3","6.4","6.3","6.1"
"4422","tt3569326","Hollidaysburg","2014","Comedy","88","USA","A.M. Lukas","Hello Please",800000,"913","6","6.1","5.7","5.8","5.8","6.1","5.6","5.7","5.9","6.1","5.6","6.1"
"4423","tt3569356","Not Cool","2014","Comedy","93","USA","Shane Dawson","Point Park University",800000,"5169","6","4.8","3.6","3.8","3.7","4","3.4","3.7","5.7","6.1","4.7","4.8"
"4424","tt3584496","Mermaid Down","2019","Fantasy","91","USA","Jeffrey Grellman","Grellman Film",85000,"1696","10","2.8","5","4.9","4.5","2.7","5","4.3","5.9","3.3","5.1","7.2"
"4425","tt3586118","Hero of the Underworld","2016","Drama","90","USA","John Vincent","Mad Dog Movies",1500000,"141","5","5.5","4.2","3.9","4.2","5.7","3.9","4","5.2","7.3","7.2","6.2"
